ID,nombre,plataforma,ano_de_lanzamiento,genero,distribuidora,ventas_na,ventas_eu,ventas_jp,ventas_otros
1,Adventures of Tron,2600,1981-01-01,Action,Mattel Interactive,0.63,0.03,0.0,0.01
2,Air Raid,2600,1981-01-01,Action,Men-A-Vision,0.72,0.04,0.0,0.01
3,Airlock,2600,1981-01-01,Action,Data Age,0.36,0.02,0.0,0.0
4,Alien,2600,1981-01-01,Action,20th Century Fox Video Games,0.74,0.04,0.0,0.01
5,Armor Ambush,2600,1981-01-01,Action,Mattel Interactive,0.15,0.01,0.0,0.0
6,Astroblast,2600,1981-01-01,Action,Mattel Interactive,0.29,0.02,0.0,0.0
7,Atlantis,2600,1981-01-01,Shooter,Imagic,1.18,0.08,0.0,0.01
8,Barnstorming,2600,1981-01-01,Action,Activision,0.4,0.02,0.0,0.0
9,Berzerk,2600,1981-01-01,Shooter,Atari,0.68,0.04,0.0,0.01
10,BurgerTime,2600,1981-01-01,Puzzle,Mattel Interactive,0.55,0.03,0.0,0.01
11,Carnival,2600,1981-01-01,Shooter,Coleco,0.32,0.02,0.0,0.0
12,Centipede,2600,1981-01-01,Shooter,Atari,1.26,0.08,0.0,0.01
13,Cosmic Ark,2600,1981-01-01,Shooter,Imagic,0.99,0.05,0.0,0.01
14,Crazy Climber,2600,1981-01-01,Action,Atari,0.21,0.01,0.0,0.0
15,Custer's Revenge,2600,1981-01-01,Action,Mystique,0.76,0.05,0.0,0.01
16,Dark Cavern,2600,1981-01-01,Shooter,Mattel Interactive,0.22,0.01,0.0,0.0
17,Deadly Duck,2600,1981-01-01,Shooter,20th Century Fox Video Games,0.21,0.01,0.0,0.0
18,Demon Attack,2600,1981-01-01,Shooter,Imagic,1.99,0.12,0.0,0.02
19,Donkey Kong,2600,1981-01-01,Platform,Coleco,1.36,0.08,0.0,0.02
20,Donkey Kong,2600,1981-01-01,Platform,Coleco,1.36,0.08,0.0,0.02
21,Donkey Kong Junior,2600,1981-01-01,Platform,Atari,0.9,0.05,0.0,0.01
22,Dragonfire,2600,1981-01-01,Action,Imagic,0.35,0.02,0.0,0.0
23,E.T.: The Extra Terrestrial,2600,1981-01-01,Action,Atari,1.84,0.11,0.0,0.02
24,Fantastic Voyage,2600,1981-01-01,Action,20th Century Fox Video Games,0.32,0.02,0.0,0.0
25,Fast Food,2600,1981-01-01,Action,Unknown,0.27,0.02,0.0,0.0
26,Fireball,2600,1981-01-01,Action,Starpath Corp.,0.3,0.02,0.0,0.0
27,Frogger,2600,1981-01-01,Action,Parker Bros.,2.06,0.12,0.0,0.02
28,Frogs And Flies,2600,1981-01-01,Action,Mattel Interactive,0.33,0.02,0.0,0.0
29,Front Line,2600,1981-01-01,Action,Taito,0.22,0.01,0.0,0.0
30,Grand Prix,2600,1981-01-01,Racing,Activision,0.45,0.03,0.0,0.0
31,International Soccer,2600,1981-01-01,Sports,Mattel Interactive,0.18,0.01,0.0,0.0
32,Jawbreaker,2600,1981-01-01,Action,Tigervision,0.42,0.03,0.0,0.0
33,King Kong,2600,1981-01-01,Action,Tigervision,0.65,0.04,0.0,0.01
34,Laser Blast,2600,1981-01-01,Action,Activision,0.37,0.02,0.0,0.0
35,Megamania,2600,1981-01-01,Shooter,Activision,1.03,0.06,0.0,0.01
36,Mouse Trap,2600,1981-01-01,Action,Coleco,0.38,0.02,0.0,0.0
37,Ms. Pac-Man,2600,1981-01-01,Puzzle,Atari,1.54,0.1,0.0,0.02
38,Phoenix,2600,1981-01-01,Simulation,Atari,0.42,0.02,0.0,0.0
39,Pitfall!,2600,1981-01-01,Platform,Activision,4.21,0.24,0.0,0.05
40,Raiders of the Lost Ark,2600,1981-01-01,Action,Atari,0.46,0.03,0.0,0.01
41,Reactor,2600,1981-01-01,Action,Parker Bros.,0.21,0.01,0.0,0.0
42,RealSports Baseball,2600,1981-01-01,Sports,Atari,0.2,0.01,0.0,0.0
43,RealSports Football,2600,1981-01-01,Sports,Atari,0.24,0.01,0.0,0.0
44,RealSports Volleyball,2600,1981-01-01,Sports,Atari,0.12,0.01,0.0,0.0
45,River Raid,2600,1981-01-01,Shooter,Activision,1.49,0.09,0.0,0.02
46,Smurf: Rescue In Gargamel's Castle,2600,1981-01-01,Action,Coleco,0.55,0.03,0.0,0.01
47,Spider-Man,2600,1981-01-01,Action,Parker Bros.,0.87,0.05,0.0,0.01
48,Action Force,2600,1982-01-01,Action,CPG Products,0.5,0.03,0.0,0.01
49,Alien's Return,2600,1982-01-01,Action,ITT Family Games,0.32,0.02,0.0,0.0
50,Assault,2600,1982-01-01,Action,Bomb,0.21,0.01,0.0,0.0
51,Bank Heist,2600,1982-01-01,Action,20th Century Fox Video Games,0.32,0.02,0.0,0.0
52,Battlezone,2600,1982-01-01,Shooter,Atari,0.58,0.03,0.0,0.01
53,Bump 'n' Jump,2600,1982-01-01,Racing,Mattel Interactive,0.37,0.02,0.0,0.0
54,Chopper Command,2600,1982-01-01,Shooter,Activision,0.47,0.03,0.0,0.01
55,Congo Bongo,2600,1982-01-01,Action,Sega,0.37,0.02,0.0,0.0
56,Death Trap,2600,1982-01-01,Action,Avalon Interactive,0.15,0.01,0.0,0.0
57,Dig Dug,2600,1982-01-01,Puzzle,Atari,1.52,0.1,0.0,0.02
58,Enduro,2600,1982-01-01,Misc,Quelle,0.81,0.05,0.0,0.01
59,Frankenstein's Monster,2600,1982-01-01,Action,Data Age,0.3,0.02,0.0,0.0
60,Galaxian,2600,1982-01-01,Shooter,Atari,0.72,0.05,0.0,0.01
61,Gauntlet,2600,1982-01-01,Action,Answer Software,0.46,0.03,0.0,0.01
62,Gravitar,2600,1982-01-01,Action,Atari,0.35,0.02,0.0,0.0
63,Halloween,2600,1982-01-01,Action,Wizard Video Games,0.58,0.03,0.0,0.01
64,Joust,2600,1982-01-01,Platform,Atari,1.01,0.06,0.0,0.01
65,Jungle Hunt,2600,1982-01-01,Platform,Atari,1.03,0.06,0.0,0.01
66,Kangaroo,2600,1982-01-01,Platform,Atari,0.67,0.04,0.0,0.01
67,Keystone Kapers,2600,1982-01-01,Action,Activision,0.62,0.04,0.0,0.01
68,Krull,2600,1982-01-01,Action,Atari,0.13,0.01,0.0,0.0
69,Mario Bros.,2600,1982-01-01,Platform,Atari,1.48,0.09,0.0,0.02
70,Moon Patrol,2600,1982-01-01,Shooter,Atari,1.05,0.06,0.0,0.01
71,Mountain King,2600,1982-01-01,Action,CBS Electronics,0.29,0.02,0.0,0.0
72,Mr. Do!,2600,1982-01-01,Action,Coleco,0.26,0.02,0.0,0.0
73,Pac-Man,2600,1982-01-01,Puzzle,Atari,7.28,0.45,0.0,0.08
74,Polaris,2600,1982-01-01,Action,Tigervision,0.26,0.02,0.0,0.0
75,Pole Position,2600,1982-01-01,Racing,Atari,1.1,0.07,0.0,0.01
76,Popeye,2600,1982-01-01,Platform,Parker Bros.,0.5,0.03,0.0,0.01
77,Porky's,2600,1982-01-01,Action,20th Century Fox Video Games,0.23,0.01,0.0,0.0
